2025-28-3--00-22-43, 1201.21, 977.19, 1066.54, 1144.66, 1190.82, 1201.21, 
2025-28-3--00-22-43, 828.15, 947.39, 971.18, 954.76, 900.69, 828.15, 
2025-28-3--00-22-43, 814.33, 920.78, 908.44, 870.50, 831.60, 814.33, 
2025-28-3--00-22-44, 826.04, 901.83, 875.48, 843.82, 827.15, 826.04, 
2025-28-3--00-22-44, 845.10, 890.48, 863.33, 844.59, 841.51, 845.10, 
2025-28-3--00-22-44, 798.98, 872.18, 837.59, 817.22, 807.48, 798.98, 
2025-28-3--00-22-44, 869.49, 871.64, 850.35, 848.58, 857.09, 869.49, 
2025-28-3--00-22-44, 860.81, 869.48, 854.53, 855.92, 860.06, 860.81, 
2025-28-3--00-22-44, 1019.48, 899.48, 920.51, 954.05, 987.59, 1019.48, 
2025-28-3--00-22-44, 705.82, 860.74, 834.63, 805.11, 762.17, 705.82, 
2025-28-3--00-22-44, 800.38, 848.67, 820.93, 802.27, 792.74, 800.38, 
2025-28-3--00-22-44, 1130.58, 905.05, 944.79, 999.26, 1063.01, 1130.58, 
2025-28-3--00-22-44, 799.68, 883.98, 886.75, 879.51, 852.35, 799.68, 
2025-28-3--00-22-45, 796.11, 866.41, 850.49, 829.47, 807.36, 796.11, 
2025-28-3--00-22-45, 647.33, 822.59, 769.23, 720.19, 679.34, 647.33, 
2025-28-3--00-22-45, 1118.31, 881.74, 908.86, 959.06, 1030.52, 1118.31, 
2025-28-3--00-22-45, 800.96, 865.58, 865.70, 864.20, 846.87, 800.96, 
2025-28-3--00-22-45, 624.34, 817.33, 769.16, 720.28, 668.84, 624.34, 
2025-28-3--00-22-45, 701.66, 794.20, 742.16, 709.11, 695.09, 701.66, 
2025-28-3--00-22-45, 840.97, 803.55, 781.68, 788.23, 811.80, 840.97, 
2025-28-3--00-22-45, 854.41, 813.72, 810.77, 827.94, 845.89, 854.41, 
2025-28-3--00-22-45, 1228.05, 896.59, 977.68, 1068.00, 1151.62, 1228.05, 
2025-28-3--00-22-45, 748.28, 866.93, 885.92, 876.17, 828.95, 748.28, 
2025-28-3--00-22-46, 877.19, 868.98, 882.43, 876.78, 867.54, 877.19, 
2025-28-3--00-22-46, 865.27, 868.24, 875.57, 869.88, 865.73, 865.27, 
2025-28-3--00-22-46, 658.50, 826.29, 788.74, 743.05, 699.95, 658.50, 
2025-28-3--00-22-46, 863.93, 833.82, 818.82, 815.58, 831.14, 863.93, 
2025-28-3--00-22-46, 844.09, 835.87, 828.93, 832.69, 841.50, 844.09, 
2025-28-3--00-22-46, 622.08, 793.12, 746.19, 706.33, 665.97, 622.08, 
2025-28-3--00-22-46, 836.19, 801.73, 782.19, 784.25, 802.15, 836.19, 
2025-28-3--00-22-46, 843.24, 810.03, 806.61, 819.64, 835.02, 843.24, 
2025-28-3--00-22-46, 48.36, 657.70, 503.31, 356.87, 205.69, 48.36, 
2025-28-3--00-22-47, 687.19, 663.60, 576.86, 555.06, 590.89, 687.19, 
2025-28-3--00-22-47, 740.91, 679.06, 642.48, 666.57, 710.90, 740.91, 
2025-28-3--00-22-47, 859.99, 715.25, 729.49, 782.62, 830.18, 859.99, 
2025-28-3--00-22-47, 1117.44, 795.68, 884.67, 983.51, 1059.99, 1117.44, 
2025-28-3--00-22-47, 735.29, 783.61, 824.92, 834.58, 800.23, 735.29, 
2025-28-3--00-22-47, 839.42, 794.77, 830.72, 837.48, 831.58, 839.42, 
2025-28-3--00-22-47, 767.87, 789.39, 805.58, 795.72, 780.62, 767.87, 
2025-28-3--00-22-47, 779.73, 787.46, 795.24, 786.12, 779.91, 779.73, 
2025-28-3--00-22-47, 682.69, 766.50, 750.22, 724.06, 702.13, 682.69, 
2025-28-3--00-22-47, 626.80, 738.56, 700.85, 665.71, 641.87, 626.80, 
2025-28-3--00-22-48, 853.10, 761.47, 761.75, 778.14, 810.85, 853.10, 
2025-28-3--00-22-48, 1169.45, 843.07, 924.83, 1012.93, 1097.73, 1169.45, 
2025-28-3--00-22-48, 821.83, 838.82, 883.63, 898.27, 877.01, 821.83, 
2025-28-3--00-22-48, 1247.81, 920.62, 1029.30, 1107.99, 1173.65, 1247.81, 
2025-28-3--00-22-48, 1150.88, 966.67, 1077.93, 1133.73, 1155.44, 1150.88, 
2025-28-3--00-22-48, 1126.64, 998.66, 1097.41, 1129.47, 1132.40, 1126.64, 
2025-28-3--00-22-48, 1187.93, 1036.52, 1133.62, 1164.55, 1176.82, 1187.93, 
2025-28-3--00-22-48, 843.17, 997.85, 1017.44, 971.72, 909.90, 843.17, 
2025-28-3--00-22-48, 865.12, 971.30, 956.51, 907.76, 874.08, 865.12, 
2025-28-3--00-22-48, 818.33, 940.71, 901.24, 854.11, 829.48, 818.33, 
